feature,importance_mean,importance_std
p4,0.9665926545396928,0.0012221201993778017
p3,0.9665926545396928,0.0012221201993778017
p2,0.9665926545396928,0.0012221201993778017
p1,0.9665926545396928,0.0012221201993778017
tau4,0.10339034542791929,0.004181355033835686
tau1,0.10213131057604982,0.0041670184481899086
tau2,0.1001924224212594,0.005907585913873619
tau3,0.08905566753951139,0.0043263141409079975
g4,0.08040846338133192,0.006113046475750026
g3,0.07918035637018848,0.0031051154176885464
g2,0.0767416409994344,0.004495273144038242
g1,0.07089537328976311,0.0050679849655444874
